Municipality,Establishment,License Number,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
2791,East Peoria,"DEMPSEY'S PUB, INC.",170703746.0,6.0,4397256.52,4042202.27,355054.25,1441103.0,1086027.07,355075.93,119632.51,101878.7,17753.81
2792,East Peoria,Denise Adams LLC,200701659.0,4.0,2567805.66,2355075.12,212730.54,883006.0,670275.46,212730.54,72328.79,61692.2,10636.59
2793,East Peoria,"Double Doerr, Inc.",120712912.0,5.0,15661912.7,14320793.08,1341119.62,5260746.0,3919625.96,1341120.04,454156.95,387100.94,67056.01
2794,East Peoria,"East Peoria Post #2078, Veterans of Foreign Wars",170904360.0,4.0,4385516.76,4013874.3,371642.46,1306754.0,935111.44,371642.56,125952.42,107370.26,18582.16
2795,East Peoria,"EAST PORT GALLEY, INC.",190701140.0,4.0,3357531.28,3053080.54,304450.74,1171359.0,866908.21,304450.79,103227.13,88004.55,15222.58
2796,East Peoria,"Full Throttle, Inc.",170701714.0,6.0,11633764.37,10670900.83,962863.54,3745303.0,2782439.02,962863.98,326589.65,278446.4,48143.25
2797,East Peoria,Gabbert Properties Inc.,120703497.0,6.0,16704094.55,15225596.31,1478498.24,5758789.0,4280268.01,1478520.99,501134.35,427208.21,73926.14
2798,East Peoria,Holy Crab Inc.,210703482.0,4.0,329211.23,304296.66,24914.57,113846.0,88931.43,24914.57,8471.09,7225.35,1245.74
2799,East Peoria,"L.D. Massey, Inc.",130700452.0,5.0,18676697.3,17191013.78,1485683.52,5911096.0,4425368.39,1485727.61,503506.74,429220.29,74286.45
2800,East Peoria,"Lacon Riverview Subdivision, LLC",130704128.0,6.0,20036062.04,18329595.13,1706466.91,6116270.0,4409803.09,1706466.91,578575.71,493252.3,85323.41
2801,East Peoria,"Lacon Riverview Subdivision, LLC",180704105.0,5.0,2130367.87,1920053.32,210314.55,733700.0,523385.26,210314.74,71089.62,60573.83,10515.79
2802,East Peoria,Lorena's Mexican Restaurant Inc.,130703106.0,5.0,4154488.72,3793507.8,360980.92,1529704.0,1168722.95,360981.05,122141.35,104092.3,18049.05
2803,East Peoria,"Mickie's Pizzeria, Inc.",220700401.0,6.0,5366068.52,4957947.98,408120.54,1776575.0,1368454.48,408120.52,138062.9,117656.83,20406.07
2804,East Peoria,"Omega 9, LLC",150701773.0,4.0,4626056.8,4260768.82,365287.98,1651408.0,1286119.67,365288.33,123848.94,105584.51,18264.43
2805,East Peoria,PURE 808 L.L.C.,220702917.0,6.0,7923.62,7730.88,192.74,2794.0,2601.26,192.74,65.54,55.9,9.64
2806,East Peoria,RKBLH CORPORATION,120702038.0,6.0,19808818.92,18155665.31,1653153.61,7350667.0,5697509.35,1653157.65,560334.45,477676.62,82657.83
2807,East Peoria,Ronald J Stanley,120703333.0,6.0,9309159.36,8529306.41,779852.95,2981187.0,2201308.05,779878.95,264173.55,225179.51,38994.04
2808,East Peoria,"Sherm's Variety Club, Inc.",120708644.0,6.0,6086714.76,5574201.04,512513.72,1765643.0,1253129.33,512513.67,173473.82,147848.13,25625.69
2809,East Peoria,Sorrentino Investments Inc.,140704332.0,5.0,110712.15,99656.6,11055.55,36689.0,25633.55,11055.45,3648.33,3095.55,552.78
2810,East Peoria,Station 5 Pizza Incorporated,160703168.0,6.0,10823336.19,9845631.46,977704.73,3518129.0,2540389.53,977739.47,330709.98,281822.97,48887.01
2811,East Peoria,"Troy Duede Enterprises, Incorporated",120700533.0,6.0,21679325.73,19939749.79,1739575.94,7238731.0,5499125.7,1739605.3,589333.49,502353.23,86980.26
2812,East Peoria,Zickar Holdings Inc.,130702092.0,6.0,17950586.12,16462685.07,1487901.05,5715740.0,4227837.91,1487902.09,504185.36,429790.17,74395.19
2813,Easton,"TT'S ADC, INC.",160704089.0,6.0,4816571.41,4475553.08,341018.33,1436837.0,1095818.74,341018.26,115303.8,98252.87,17050.93
2814,Eddyville,"Shotgun Eddys, Inc.",200702731.0,5.0,1987831.36,1828373.83,159457.53,672419.0,512961.31,159457.69,54215.76,46242.88,7972.88
2815,Edgar County,"Beer: 30, LLC",230700647.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2816,Edgar County,SITECO LLC,190704187.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2817,Edgar County,"The Old Glass Shop, LLC",210703386.0,6.0,8930229.3,8208380.42,721848.88,3493029.0,2771180.12,721848.88,245428.95,209336.45,36092.5
2818,Edgewood,Carla Sowers,200701951.0,4.0,502675.33,465396.44,37278.89,159914.0,122635.01,37278.99,12302.03,10438.09,1863.94
2819,Edgewood,"Carolyn's Country Kitchen, Inc.",170700360.0,3.0,192610.31,182179.3,10431.01,55935.0,45504.15,10430.85,3442.08,2920.54,521.54
2820,Edgewood,"GPM Midwest 18, LLC",170704008.0,4.0,7377131.07,6816307.66,560823.41,2191110.0,1630184.93,560925.07,190232.03,162185.73,28046.3
2821,Edgewood,"Keeler-Adams Post No. 1168, Department of Illinois American Legion, Incorporated",120901469.0,6.0,10917171.33,10000559.0,916612.33,3722172.0,2805578.82,916593.18,310678.48,264848.75,45829.73
2822,Edgewood,"TIDBIT ENTERPRISE, LLC",220700957.0,6.0,747384.0,668720.39,78663.61,271674.0,193010.39,78663.61,26745.92,22812.71,3933.21
2823,Edinburg,Big Buck's Gaming Inc.,170703821.0,5.0,144814.24,134119.46,10694.78,47533.0,36838.22,10694.78,3529.22,2994.49,534.73
2824,Edinburg,GARAGE II TAVERN LLC,180703655.0,5.0,6118078.24,5666427.93,451650.31,2028110.0,1576459.21,451650.79,153153.5,130570.9,22582.6
2825,Edinburg,"HSS Edinburg, Inc.",160701167.0,5.0,3258490.18,2995854.57,262635.61,1018499.0,755864.27,262634.73,88749.88,75618.09,13131.79
2826,Edinburg,"Tri-State Investors Group, LLC",170701165.0,6.0,14825010.36,13603286.64,1221723.72,4572048.0,3350270.86,1221777.14,414088.24,352999.37,61088.87
2827,Edwardsville,"EDWARDSVILLE AMERICAN LEGION POST  #199,  INC.",200703008.0,6.0,4915336.65,4480964.52,434372.13,1639872.0,1205499.87,434372.13,147686.81,125968.18,21718.63
2828,Edwardsville,Edwardsville Lodge # 1561 Loyal Order of Moose,200802633.0,6.0,11530340.63,10573957.55,956383.08,3572553.0,2616169.92,956383.08,325171.04,277351.83,47819.21
2829,Edwardsville,Fred Mills Club Inc.,200702855.0,6.0,3206005.3,2956749.14,249256.16,969792.0,720535.45,249256.55,84747.71,72284.82,12462.89
2830,Effingham,2SALESGUYS LLC,150702987.0,5.0,163484.8,148217.53,15267.27,63092.0,47824.73,15267.27,5038.18,4274.82,763.36
2831,Effingham,"Bowski, Inc.",140700549.0,3.0,112010.44,105120.07,6890.37,36844.0,29953.63,6890.37,2273.85,1929.33,344.52
2832,Effingham,"DAV CLUB, CHAPTER 7",120713089.0,3.0,2935220.36,2709160.66,226059.7,1019919.0,793857.19,226061.81,76559.07,65255.95,11303.12
2833,Effingham,"DJ's Party Supply, Inc. In Effingham",190702742.0,6.0,16205171.91,14917203.83,1287968.08,5393843.0,4105874.92,1287968.08,436744.9,372346.49,64398.41
2834,Effingham,"DJK Enterprises, LLC",180704304.0,6.0,7699741.32,7109984.58,589756.74,2502866.0,1913109.22,589756.78,199991.45,170503.5,29487.95
2835,Effingham,Downtown Lounge Inc.,190701336.0,4.0,5581057.97,5159301.42,421756.55,1540064.0,1118306.95,421757.05,143306.9,122219.02,21087.88
2836,Effingham,"Effing Brew Co., LLC",170704075.0,4.0,1947215.52,1796029.6,151185.92,735587.0,584400.92,151186.08,51008.64,43449.27,7559.37
2837,Effingham,"Effingham Chrome Shop, Inc.",141002323.0,5.0,3883564.33,3570395.28,313169.05,968318.0,655207.43,313110.57,105907.32,90251.83,15655.49
2838,Effingham,Effingham Event Center Corporation,120713084.0,6.0,10130108.94,9373020.92,757088.02,3737208.0,2980109.18,757098.82,256491.76,218636.81,37854.95
2839,Effingham,"Effingham Lodge No. 1016 of the BPOE of the USA, Inc.",120806183.0,6.0,4636864.22,4301171.83,335692.39,1681540.0,1345847.31,335692.69,113776.1,96991.4,16784.7
2840,Effingham,"Effingham Lodge No. 502, Loyal Order of Moose, Inc. ",120810780.0,6.0,5703669.8,5222482.46,481187.34,1671597.0,1190389.56,481207.44,162943.97,138883.54,24060.43
2841,Effingham,EFFINGHAM POST NO. 120 DEPARTMENT OF ILLINOIS AMERICAN LEGION CORPORATION,120900197.0,5.0,2812444.12,2589889.42,222554.7,902678.0,680123.3,222554.7,75194.91,64067.12,11127.79
2842,Effingham,Effingham Shakti Corporation,120705117.0,6.0,15394264.25,14121213.4,1273050.85,4735408.0,3462316.96,1273091.04,431146.83,367492.18,63654.65
2843,Effingham,"Gopher's Grill, Inc.",180700086.0,5.0,3452071.92,3145372.33,306699.59,1218405.0,911705.51,306699.49,103731.15,88396.17,15334.98
2844,Effingham,JAI MA ENTERPRISES INC.,170701705.0,6.0,11606783.84,10728107.37,878676.47,3718930.0,2840254.07,878675.93,297675.4,253741.57,43933.83
2845,Effingham,"Kiefer Entertainment, L.L.C.",170700808.0,4.0,920673.01,849111.2,71561.81,284573.0,213010.94,71562.06,24123.49,20545.37,3578.12
2846,Effingham,"Kirby Foods, Inc.",171004093.0,6.0,39414979.49,36386266.2,3028713.29,11847298.0,8818471.89,3028826.11,1025581.2,874139.93,151441.27
2847,Effingham,"Lions Distinctive Wines, Co.",160700342.0,6.0,16797196.5,15514353.82,1282842.68,5120870.0,3838011.97,1282858.03,434619.42,370476.46,64142.96
2848,Effingham,Mexphil Enterprises Incorporated,180700284.0,3.0,2077353.03,1916912.47,160440.56,663774.0,503333.44,160440.56,54368.06,46346.03,8022.03
2849,Effingham,Meyer Oil Co.,141001195.0,6.0,45457559.67,41828010.49,3629549.18,14040410.0,10410255.76,3630154.24,1229346.47,1047838.67,181507.8
2850,Effingham,"Niemerg's, Inc.",120700757.0,6.0,16970718.51,15595755.65,1374962.86,6642721.0,5267758.12,1374962.88,465325.15,396577.0,68748.15
2851,Effingham,Ole Liquor Cabinet Inc.,190703432.0,6.0,10109079.5,9182243.91,926835.59,3775264.0,2848428.31,926835.69,315124.65,268782.8,46341.85
2852,Effingham,"Orchard Inn, Inc.",120700153.0,6.0,29887997.02,27607103.02,2280894.0,10379158.0,8098261.0,2280897.0,772478.1,658433.21,114044.89
2853,Effingham,"Pagel Silver Dollar Lanes, Inc.",170700561.0,5.0,3878894.62,3584553.21,294341.41,1284696.0,990318.71,294377.29,99444.33,84725.46,14718.87
2854,Effingham,Pilot Travel Centers LLC,121009173.0,6.0,27572570.51,25070937.84,2501632.67,7816314.0,5314460.41,2501853.59,847208.62,722115.91,125092.71
2855,Effingham,Pilot Travel Centers LLC,191001361.0,10.0,11823721.72,10635572.83,1188148.89,3916927.0,2728538.29,1188388.71,404052.48,344633.04,59419.44
2856,Effingham,"Preamer, LLC",200701113.0,6.0,5902746.47,5458868.28,443878.19,1961059.0,1517180.81,443878.19,150919.2,128725.22,22193.98
2857,Effingham,"South Central FS, Inc.",151001221.0,6.0,18791066.07,17338893.65,1452172.42,5688373.0,4236182.43,1452190.57,491779.64,419170.06,72609.58
2858,Effingham,Speedway LLC,171003601.0,5.0,8830787.51,7998081.25,832706.26,2587656.0,1754936.43,832719.57,281843.23,240207.19,41636.04
2859,Effingham,TA Operating LLC,201000105.0,10.0,34068444.79,30907445.54,3160999.25,10190035.0,7029013.67,3161021.33,1069766.63,911715.49,158051.14
2860,Effingham,TA Operating LLC,201000112.0,10.0,40363087.88,36713538.95,3649548.93,11966302.0,8316726.48,3649575.52,1236490.29,1054011.49,182478.8
2861,Effingham,Tap Out Lounge LLC,220700358.0,4.0,499279.49,464883.97,34395.52,172086.0,137690.48,34395.52,11694.57,9974.78,1719.79
2862,Effingham,"The Gabby Goat, LLC",120701378.0,6.0,11924535.46,11046175.64,878359.82,3962433.0,3084060.13,878372.87,296991.36,253072.64,43918.72
2863,Effingham,"THE OFFICE PUB, INC.",120700600.0,5.0,8358544.97,7755617.3,602927.67,2758049.0,2155121.53,602927.47,204368.11,174221.72,30146.39
2864,Effingham,"THEODORE HOFFMAN POST NO. 1769 VETERANS OF FOREIGN WARS, U.S.A.",120900635.0,6.0,8178664.7,7578384.97,600279.73,2991046.0,2390766.27,600279.73,203124.51,173110.42,30014.09
2865,Effingham,"Trucker's Pub, Inc.",130702141.0,6.0,22645373.38,20830418.38,1814955.0,7072901.0,5257946.0,1814955.0,614922.41,524174.59,90747.82
2866,Effingham,TSBWS LLC,180703521.0,6.0,5712210.82,5230257.51,481953.31,1825843.0,1343889.69,481953.31,162518.06,138420.36,24097.7
2867,Effingham,TSBWS LLC,210703135.0,6.0,8484602.85,7826997.41,657605.44,2876834.0,2219228.56,657605.44,223586.26,190705.95,32880.31
2868,Effingham,"Village XIII,Inc.",140702784.0,5.0,3599274.43,3343503.14,255771.29,1174262.0,918490.71,255771.29,86500.87,73712.26,12788.61
2869,Effingham,"WORTMAN DEVELOPMENT, LLC",141003882.0,6.0,53980150.22,49656728.71,4323421.51,16430628.12,12106964.93,4323663.19,1464749.48,1248566.29,216183.19
2870,Effingham,"WORTMAN-MEYER PROPERTIES, LLC",141002719.0,6.0,32877786.56,30363230.43,2514556.13,9495453.0,6980720.79,2514732.21,851015.56,725278.88,125736.68
2871,Effingham County,"""Unique"" Foods, Incorporated",120709143.0,4.0,163105.71,149601.75,13503.96,57612.0,44108.04,13503.96,4456.36,3781.16,675.2
2872,Effingham County,Country Haven Event Center Inc.,170702265.0,5.0,3574641.51,3312364.02,262277.49,1029174.0,766896.51,262277.49,88717.01,75603.17,13113.84
2873,Effingham County,Effingham Shakti Corporation,210702151.0,6.0,4858849.96,4474047.15,384802.81,1706566.0,1321763.16,384802.84,130833.27,111593.09,19240.18
2874,Effingham County,"Fore-Way Challenge Course, Inc.",160700658.0,3.0,1238419.71,1144380.7,94039.01,433568.0,339529.34,94038.66,31842.49,27140.54,4701.95
2875,Effingham County,"Heron Cove, LLC",170702137.0,2.0,14395.78,13259.27,1136.51,4283.0,3146.49,1136.51,375.05,318.22,56.83
2876,Effingham County,JGKW LLC,220700299.0,4.0,475303.63,446394.44,28909.19,172896.0,143986.61,28909.39,9829.17,8383.68,1445.49
2877,Effingham County,Keg Investments Inc.,220701086.0,4.0,556253.27,509511.86,46741.41,192005.0,145261.69,46743.31,15892.79,13555.63,2337.16
2878,Effingham County,Keith Howell,130705028.0,6.0,11385694.5,10554731.46,830963.04,3898962.0,3067998.76,830963.24,281355.64,239807.48,41548.16
2879,Effingham County,Meyer Oil Co.,131006053.0,5.0,39168638.66,36066043.5,3102595.16,12386001.0,9283383.96,3102617.04,1050630.28,895499.42,155130.86
2880,Effingham County,"Midway Hospitality Group, LLC",120712254.0,5.0,5644692.14,5207985.32,436706.82,1793921.0,1357214.12,436706.88,147860.88,126025.51,21835.37
2881,Effingham County,"ON THE ROX PUB & GRUB, INC.",120700700.0,6.0,7134943.22,6629802.74,505140.48,2331500.0,1826359.48,505140.52,171107.23,145850.2,25257.03
2882,Effingham County,"Schultz's Establishments, LLC",180700835.0,4.0,690363.38,633769.29,56594.09,242775.0,186180.91,56594.09,19209.99,16380.26,2829.73
2883,Effingham County,"Steve's Liquor and Snacks, Inc.",170703959.0,5.0,12462291.61,11515989.03,946302.58,3558666.0,2612363.42,946302.58,320551.76,273236.56,47315.2
2884,Effingham County,William Macklin,130701229.0,6.0,15058052.92,13844640.48,1213412.44,4761925.0,3548512.56,1213412.44,410795.03,350124.42,60670.61
2885,El Paso,"El Paso Antique Mall, LLC",190701107.0,4.0,3393695.08,3111280.7,282414.38,1121394.0,838979.6,282414.4,95860.24,81739.52,14120.72
2886,El Paso,Freedom Oil Company,170702121.0,5.0,9228032.94,8408736.89,819296.05,2876408.0,2057110.75,819297.25,277627.45,236662.56,40964.89
2887,El Paso,GANDER INCORPORATED,130700205.0,5.0,11277419.51,10335410.38,942009.13,3883222.0,2940946.53,942275.47,319598.62,272484.85,47113.77
2888,El Paso,"Giovanni's Pizzeria, Inc.",210700647.0,5.0,237252.9,216710.38,20542.52,76806.0,56263.66,20542.34,6862.8,5835.69,1027.11
2889,El Paso,"L. Percy Tucker Post 6026, Veterans of Foreign Wars",120903709.0,5.0,12042874.58,11109806.3,933068.28,3782367.0,2849297.72,933069.28,316295.84,269642.3,46653.54
2890,El Paso,"MINIT MART, LLC",181004509.0,5.0,9414955.31,8570464.1,844491.21,3095830.0,2251284.35,844545.65,287145.8,244918.48,42227.32
2891,El Paso,Sunshine One LLC,160700972.0,5.0,5191168.2,4788193.85,402974.35,1537762.0,1134764.77,402997.23,136338.02,116188.03,20149.99
2892,El Paso,TA Operating LLC,151001945.0,5.0,3429504.31,3103413.26,326091.05,1095291.0,769199.69,326091.31,109076.24,92771.68,16304.56
2893,El Paso,The Alley 133 Inc.,180700737.0,4.0,1545456.36,1395824.56,149631.8,595850.0,446167.8,149682.2,50516.96,43032.77,7484.19
2894,El Paso,The Local Tap LLC,180704101.0,5.0,1730956.04,1579021.25,151934.79,657493.0,505558.16,151934.84,51330.35,43733.63,7596.72
2895,Elburn,Ambrogi's Pizza LLC,200702650.0,4.0,168491.81,154690.21,13801.6,58491.0,44671.0,13820.0,4698.81,4007.82,690.99
2896,Elburn,"DOUGH BROTHERS, INC.",220701710.0,6.0,293827.77,261898.46,31929.31,119911.0,87981.49,31929.51,10856.01,9259.53,1596.48
2897,Elburn,Elburn American Legion Post #630 Building Association,180702742.0,5.0,210055.63,194849.45,15206.18,84600.0,69373.67,15226.33,5152.14,4390.82,761.32
2898,Elburn,Elburn's Elbo Room Inc.,220701685.0,6.0,933898.54,842827.96,91070.58,329313.0,238242.42,91070.58,30964.2,26410.62,4553.58
2899,Elburn,"KEVIN SCHMIDT B-G LLC,",130701472.0,5.0,13795427.8,12701399.03,1094028.77,4165713.0,3071651.23,1094061.77,370547.75,315844.56,54703.19
2900,Elburn,"KNUCKLEHEAD'S TAVERN, INC.",130702153.0,6.0,12254801.93,11267393.06,987408.87,3962706.0,2975297.15,987408.85,333942.78,284597.35,49345.43
2901,Elburn,LCI Highland of Illinois LLC,170703536.0,6.0,26361406.48,24143385.59,2218020.89,8262282.0,6044058.35,2218223.65,752048.23,641137.02,110911.21
2902,Elburn,ROSATI'S AMK INC.,220700238.0,5.0,1285959.26,1155133.1,130826.16,450799.0,319972.84,130826.16,44481.17,37939.83,6541.34
2903,Elburn,"TACO HEAVEN, LLC",180701429.0,4.0,203119.98,192107.33,11012.65,66391.0,55378.34,11012.66,3634.14,3083.5,550.64
2904,Eldorado,"Eldorado Post No. 169, The American Legion Department of Illinois",160903687.0,6.0,5159561.59,4764023.81,395537.78,1489435.0,1093897.22,395537.78,133921.34,114144.43,19776.91
2905,Eldorado,Grinner's Place LLC,200701265.0,6.0,4762046.3,4309392.84,452653.46,1328158.0,875504.18,452653.82,153902.77,131270.01,22632.76
2906,Eldorado,"Martin & Bayley, Inc.",131003829.0,6.0,59950906.72,55160329.71,4790577.01,14234074.0,9443513.22,4790560.78,1622660.51,1383132.55,239527.96
2907,Eldorado,Russell Oil Co.,160702685.0,6.0,9020248.7,8237784.74,782463.96,2657334.0,1875016.08,782317.92,264777.7,225661.76,39115.94
2908,Eldorado,Russell Oil Co.,190700834.0,6.0,4434548.73,4074182.33,360366.4,1230337.0,869970.4,360366.6,122172.32,104153.91,18018.41
2909,Eldorado,Saline Post #3479 Veterans of Foreign Wars,120902225.0,6.0,5549407.62,5124581.47,424826.15,1836077.0,1411250.85,424826.15,143940.65,122699.3,21241.35
2910,Eldorado,WABB ENTERPRISES OF ILLINOIS LLC,120711434.0,6.0,14580021.99,13492566.61,1087455.38,4382561.0,3294949.86,1087611.14,368296.4,313915.87,54380.53
2911,Eldred,Eldred American Legion Post 1135,120902983.0,6.0,14849599.89,13650633.96,1198965.93,4536534.0,3337102.04,1199431.96,406273.12,346301.5,59971.62
2912,Eldred,Kathy's Corner Company,140702213.0,5.0,2243094.46,2082172.76,160921.7,862699.0,701777.45,160921.55,54485.67,46439.57,8046.1
2913,Eldred,Tucker's Pub LLC,220703751.0,6.0,1943423.23,1779120.85,164302.38,589580.0,425277.59,164302.41,55386.42,47171.27,8215.15
2914,Elgin,2300 BUSHWOOD DR. INC.,220702832.0,6.0,553298.39,501134.52,52163.87,199410.0,147245.84,52164.16,17735.82,15127.62,2608.2
2915,Elgin,"ALEXANDER'S RESTAURANT, INC.",130702326.0,2.0,2122979.73,1941943.51,181036.22,697914.0,516877.78,181036.22,61061.04,52009.22,9051.82
2916,Elgin,American Legion Elgin Post 57,130901993.0,6.0,9518899.81,8676431.57,842468.24,3158513.0,2315985.8,842527.2,285314.15,243187.72,42126.43
2917,Elgin,BENARA CORPORATION,190700177.0,5.0,3159419.97,2884982.97,274437.0,1061583.0,787145.78,274437.22,93308.9,79587.02,13721.88
2918,Elgin,"BOWLWAY ENTERPRISES, INC.",130702258.0,5.0,705507.13,632827.63,72679.5,254514.0,181834.9,72679.1,23984.1,20350.15,3633.95
2919,Elgin,"Carmina's Restaurant & Banquets, Inc.",120701224.0,6.0,11304397.78,10387457.07,916940.71,3559460.0,2642518.94,916941.06,310322.34,264475.27,45847.07
2920,Elgin,Chicago Street Pour House Elgin LLC,210702575.0,6.0,4963454.12,4532872.06,430582.06,1752134.0,1321551.94,430582.06,146397.93,124868.82,21529.11
2921,Elgin,"D HANGOUT BAR AND GRILL, INC.",130706548.0,6.0,12720629.95,11553115.96,1167513.99,4162439.0,2994588.35,1167850.65,395279.0,336886.44,58392.56
2922,Elgin,"Eaton's Redwood Inn, Ltd.",120701406.0,6.0,16382098.64,14979172.94,1402925.7,5488433.0,4085507.3,1402925.7,474820.74,404674.42,70146.32
2923,Elgin,Elgin Buffet Inc.,120702317.0,5.0,2552394.55,2341876.44,210518.11,798452.0,587890.74,210561.26,69485.12,58957.09,10528.03
2924,Elgin,"Elgin Lanes Corporation, an Illinois Corporation",130705161.0,6.0,7857564.16,7159142.03,698422.13,2772660.0,2074211.87,698448.13,236008.33,201085.8,34922.53
2925,Elgin,Elgin Lodge No. 799 Loyal Order of Moose,120802273.0,5.0,2103052.58,1912299.3,190753.28,719476.0,528722.48,190753.52,64295.45,54757.75,9537.7
2926,Elgin,Elgin Riverside Club,120702955.0,6.0,8097040.1,7527572.94,569467.16,2676734.0,2107266.42,569467.58,192773.59,164300.18,28473.41
2927,Elgin,ELGIN TURNERS,130706645.0,3.0,1494898.73,1372601.52,122297.21,572667.0,450369.79,122297.21,41256.07,35141.14,6114.93
2928,Elgin,Elgin's Best Pizza Inc.,130701957.0,5.0,12566233.25,11378417.72,1187815.53,4075461.0,2887571.89,1187889.11,402318.26,342923.76,59394.5
2929,Elgin,FEN XIN INC.,200700715.0,6.0,16732019.62,15281052.08,1450967.54,5362991.0,3911824.16,1451166.84,493397.35,420838.89,72558.46
2930,Elgin,GIFFORDS BAR AND RESTAURANT LLC,180701697.0,5.0,686019.07,625626.16,60392.91,228026.0,167633.09,60392.91,19929.68,16910.03,3019.65
2931,Elgin,"GLOGOVSKY OIL COMPANY IV, INC.",201000292.0,10.0,42931891.59,39312016.11,3619875.48,13531043.0,9911166.94,3619876.06,1226310.96,1045317.1,180993.86
2932,Elgin,GOT FAT INC.,130704163.0,6.0,25106678.63,23095921.97,2010756.66,7795949.0,5785183.32,2010765.68,681187.73,580649.43,100538.3
2933,Elgin,"Greg Shannon, Inc.",130705272.0,3.0,1777460.58,1616316.48,161144.1,594310.0,433165.75,161144.25,54639.3,46582.07,8057.23
2934,Elgin,GROTTO AT ELGIN CORPORATION,150703470.0,6.0,18977212.69,17467358.37,1509854.32,5732996.0,4223121.68,1509874.32,511341.38,435847.53,75493.85
2935,Elgin,GRUPPOF4 INC,200700995.0,6.0,1751530.11,1592112.62,159417.49,581426.0,422007.51,159418.49,54202.69,46231.73,7970.96
2936,Elgin,"Hoopers Sports Bar & Grill, Inc.",130705091.0,6.0,26475588.82,24265061.74,2210527.08,9320232.0,7109704.92,2210527.08,748281.98,637755.63,110526.35
2937,Elgin,"Hoppe's Corner, Inc.",120702165.0,6.0,31139929.67,28183807.85,2956121.82,9782249.0,6826126.89,2956122.11,1001268.4,853462.23,147806.17
2938,Elgin,Islas Marias Restaurant Inc.,180703096.0,5.0,4348242.58,4018830.89,329411.69,1182783.0,853371.32,329411.68,111193.25,94722.55,16470.7
2939,Elgin,"J & S Papa, Inc.",160704246.0,5.0,250891.42,226730.85,24160.57,83415.0,59254.43,24160.57,7973.01,6764.98,1208.03
2940,Elgin,"JIMMY'S CHARHOUSE OF ELGIN, INC.",130704557.0,5.0,10063320.8,9392205.45,671115.35,2996089.0,2324973.65,671115.35,227459.52,193903.66,33555.86
2941,Elgin,"KMK Ventures, Inc.",120700355.0,6.0,18334590.4,16839572.55,1495017.85,5938581.0,4443512.83,1495068.17,505589.98,430836.55,74753.43
2942,Elgin,"MARISCOS EL CHARCO, INC.",170703500.0,5.0,7123648.04,6511708.24,611939.8,2459630.0,1847689.7,611940.3,206984.66,176387.57,30597.09
2943,Elgin,"OASIS ON 20, INC.",171003954.0,6.0,53747896.02,49265082.29,4482813.73,17924454.0,13440944.76,4483509.24,1518889.56,1294714.12,224175.44
2944,Elgin,"Olde Towne Inn, Inc.",130701334.0,6.0,8187309.81,7305427.49,881882.32,2908723.0,2026836.12,881886.88,298464.88,254370.53,44094.35
2945,Elgin,"OR1, INC.",180700153.0,6.0,9344033.95,8533667.35,810366.6,3477275.0,2666907.9,810367.1,274771.58,234253.21,40518.37
2946,Elgin,Owls Athletic Club of Elgin,130705748.0,5.0,5345031.84,4813344.98,531686.86,2144334.0,1612647.14,531686.86,180095.79,153511.42,26584.37
2947,Elgin,"Sammy's Mexican Restaurant, Inc.",150700597.0,3.0,4162419.29,3803356.4,359062.89,1315525.0,956462.05,359062.95,121714.32,103761.13,17953.19
2948,Elgin,"THE WALNUT SPEAKEASY, INC.",120700240.0,6.0,17923113.59,16289906.33,1633207.26,6536389.0,4903181.54,1633207.46,553061.0,471400.56,81660.44
2949,Elgin,"TJS BAR AND GRILL, LLC",180702716.0,6.0,11188573.59,10281031.15,907542.44,3787887.0,2880344.56,907542.44,307281.49,261904.34,45377.15
2950,Elgin,"VILLAGE PIZZA AND PUB, LLC",160703417.0,5.0,7935243.6,7301158.36,634085.24,2687149.0,2053063.76,634085.24,214827.32,183123.03,31704.29
2951,Elizabeth,CAJUN JACK'S BAR & GRILL LLC,170702507.0,5.0,3690125.14,3421686.99,268438.15,1196463.0,928024.45,268438.55,90899.39,77477.44,13421.95
2952,Elizabeth,"CLACK STONE, INC.",140703786.0,4.0,5192602.23,4807792.56,384809.67,1349405.0,964033.82,385371.18,130417.78,111149.19,19268.59
2953,Elizabeth,"J&L Walters, Inc.",120700754.0,4.0,2816485.83,2598977.74,217508.09,862860.0,645351.91,217508.09,73612.62,62737.2,10875.42
2954,Elizabethtown,E'Town Tap LLC,220703291.0,6.0,1226160.43,1117324.39,108836.04,365924.0,257087.87,108836.13,37004.32,31562.51,5441.81
2955,Elizabethtown,Richard Pool and Delight Griswold,180700444.0,6.0,4587020.43,4221729.66,365290.77,1353450.0,988138.9,365311.1,123814.77,105549.17,18265.6
2956,Elizabethtown,Ricky Steven Love,170700498.0,5.0,3519983.97,3267412.93,252571.04,981996.0,729425.0,252571.0,85513.15,72884.52,12628.63
2957,Elizabethtown,River Water Lounge LLC,220702808.0,6.0,677363.87,630735.4,46628.47,186548.0,139919.53,46628.47,15853.63,13522.22,2331.41
